This log is trained by origin dataloader and fine-tune on model-35000.
I want to test the training speed for 1 epoch using origin dataloader!!


2018-12-03 00:36:26.519396: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2018-12-03 00:36:27.401521: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1030] Found device 0 with properties: 
name: TITAN Xp major: 6 minor: 1 memoryClockRate(GHz): 1.582
pciBusID: 0000:87:00.0
totalMemory: 11.90GiB freeMemory: 11.57GiB
2018-12-03 00:36:27.401598: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: TITAN Xp, pci bus id: 0000:87:00.0, compute capability: 6.1)
build encoder
build decoder
loading model parameters from given model path and name
17898.25 286372
12.03-00:37:18, Global step=20, lr=0.0005, loss=2.7438746452331544, loss2=752.7373046875
12.03-00:38:03, Global step=40, lr=0.0005, loss=2.54517525434494, loss2=838.0811767578125
12.03-00:38:46, Global step=60, lr=0.0005, loss=2.408813750743866, loss2=902.0143432617188
12.03-00:39:30, Global step=80, lr=0.0005, loss=2.4832582831382752, loss2=560.705322265625
12.03-00:40:12, Global step=100, lr=0.0005, loss=2.5621060013771055, loss2=890.0944213867188
12.03-00:40:56, Global step=120, lr=0.0005, loss=2.4284890055656434, loss2=808.8623046875
12.03-00:41:40, Global step=140, lr=0.0005, loss=2.5381795883178713, loss2=1095.75244140625
12.03-00:42:25, Global step=160, lr=0.0005, loss=2.436883544921875, loss2=745.7171630859375
12.03-00:43:11, Global step=180, lr=0.0005, loss=2.5042027831077576, loss2=1138.44384765625
12.03-00:44:01, Global step=200, lr=0.0005, loss=2.4272519826889036, loss2=666.452880859375
12.03-00:44:50, Global step=220, lr=0.0005, loss=2.326188063621521, loss2=857.6295166015625
12.03-00:45:42, Global step=240, lr=0.0005, loss=2.400050091743469, loss2=597.8817749023438
12.03-00:46:32, Global step=260, lr=0.0005, loss=2.3205416917800905, loss2=833.7512817382812
12.03-00:47:22, Global step=280, lr=0.0005, loss=2.2961958825588225, loss2=1021.2866821289062
